Assembly Accession	Organism Name	Organism Infraspecific Names Strain	Organism Infraspecific Names Isolate	Assembly BioSample Accession	Assembly BioSample Host	Assembly BioSample Isolation source	Assembly Paired Assembly Accession
GCF_000012245.1	Pseudomonas syringae pv. syringae B728a	B728a		SAMN02604347			GCA_000012245.1
GCF_000145845.2	Pseudomonas syringae pv. maculicola str. ES4326	ES4326		SAMN02471321			GCA_000145845.2
GCF_000302795.1	Pseudomonas syringae pv. avellanae str. ISPaVe013	ISPaVe013		SAMN02471968	Corylus avellana		GCA_000302795.1
GCF_000302815.1	Pseudomonas syringae pv. avellanae str. ISPaVe037	ISPaVe037		SAMN02471963	Corylus avellana		GCA_000302815.1
GCF_000331385.1	Pseudomonas syringae pv. syringae B64	B64		SAMN02472031	Triticum aestivum	leaf	GCA_000331385.1
GCF_000333995.1	Pseudomonas syringae BRIP39023	BRIP39023		SAMN02469654		barley	GCA_000333995.1
GCF_000334055.1	Pseudomonas syringae BRIP34881	BRIP34881		SAMN02469652	barley		GCA_000334055.1
GCF_000344335.2	Pseudomonas syringae pv. actinidiae ICMP 9853	ICMP 9853		SAMN02471921	Actinidia		GCA_000344335.2
GCF_000344475.3	Pseudomonas syringae pv. actinidiae str. Shaanxi_M228	Shaanxi_M228		SAMN02471925	Actinidia		GCA_000344475.3
GCF_000412165.1	Pseudomonas syringae pv. syringae SM	SM		SAMN02472030	Triticum aestivum	leaf	GCA_000412165.1
GCF_000452525.3	Pseudomonas syringae USA011	USA011		SAMN02471567		stream water	GCA_000452525.4
GCF_000452565.2	Pseudomonas syringae UB303	UB303		SAMN02471550		lake water	GCA_000452565.3
GCF_000452585.2	Pseudomonas syringae CC457	CC457		SAMN02471568		cantaloupe	GCA_000452585.3
GCF_000452705.1	Pseudomonas syringae CC1557	CC1557		SAMN02471566		Snow	GCA_000452705.3
GCF_000507185.2	Pseudomonas syringae KCTC 12500	KCTC 12500		SAMN02404616			GCA_000507185.2
GCF_000658965.1	Pseudomonas syringae pv. actinidiae ICMP 9617	ICMP 9617		SAMN02740942	Actinidia		GCA_000658965.1
GCF_000737245.1	Pseudomonas syringae	GAW0119		SAMN02929200		irrigation canal	GCA_000737245.1
GCF_000738515.1	Pseudomonas syringae pv. syringae	Alf3		SAMN02870642	alfalfa	missing	GCA_000738515.1
GCF_000935775.1	Pseudomonas syringae pv. syringae	41a		SAMN03328983	Prunus armeniaca		GCA_000935775.1
GCF_000972175.1	Pseudomonas syringae pv. coryli str. NCPPB 4273	NCPPB 4273		SAMN03481961	Corylus avellana (Hazelnut)	Hazelnut twig	GCA_000972175.1
GCF_000988395.1	Pseudomonas syringae pv. syringae HS191	HS191		SAMN03267749	Panicum miliaceum		GCA_000988395.1
GCF_000988485.1	Pseudomonas syringae pv. syringae B301D	B301D		SAMN03267739	Pyrus communis		GCA_000988485.1
GCF_001281365.1	Pseudomonas syringae UMAF0158	UMAF0158		SAMN04053740			GCA_001281365.1
GCF_001293575.1	Pseudomonas syringae pv. maculicola	YM7930		SAMN03837766	Raphanus sativus		GCA_001293575.1
GCF_001293775.1	Pseudomonas syringae pv. cilantro	0788_9		SAMN03737331	Cilantro		GCA_001293775.1
GCF_001293855.1	Pseudomonas syringae pv. maculicola	90_32		SAMN03837739	Brassica oleracea		GCA_001293855.1
GCF_001294305.1	Pseudomonas syringae pv. maculicola	M4a		SAMN03837764	Raphanus sativus		GCA_001294305.1
GCF_001466845.1	Pseudomonas syringae ICMP 11293	ICMP 11293		SAMN04102819	Actinidia deliciosa		GCA_001466845.1
GCF_001467115.1	Pseudomonas savastanoi	ICMP 19499		SAMN04092560		kiwi fruit	GCA_001467115.1
GCF_001467285.1	Pseudomonas syringae ICMP 11168	ICMP 11168		SAMN04102817	Actinidia deliciosa		GCA_001467285.1
